eid,label,mark,pos,val
E073,Neural - DLPFC,H3K4me3,66023056,1.4786499738693237
E073,Neural - DLPFC,H3K4me3,66023057,1.4786499738693237
E073,Neural - DLPFC,H3K4me3,66023058,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023059,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023060,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023061,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023062,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023063,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023064,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023065,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023066,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023067,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023068,1.9715299606323242
E073,Neural - DLPFC,H3K4me3,66023069,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023070,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023071,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023072,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023073,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023074,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023075,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023076,2.4642701148986816
E073,Neural - DLPFC,H3K4me3,66023077,2.9571499824523926
E073,Neural - DLPFC,H3K4me3,66023078,2.7311298847198486
E073,Neural - DLPFC,H3K4me3,66023079,2.7311298847198486
E073,Neural - DLPFC,H3K4me3,66023080,2.7311298847198486
E073,Neural - DLPFC,H3K4me3,66023081,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023082,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023083,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023084,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023085,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023086,2.9412100315093994
E073,Neural - DLPFC,H3K4me3,66023087,2.9412100315093994
E073,Neural - DLPFC,H3K4me3,66023088,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023089,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023090,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023091,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023092,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023093,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023094,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023095,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023096,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023097,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023098,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023099,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023100,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023101,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023102,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023103,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023104,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023105,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023106,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023107,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023108,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023109,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023110,3.186340093612671
E073,Neural - DLPFC,H3K4me3,66023111,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023112,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023113,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023114,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023115,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023116,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023117,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023118,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023119,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023120,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023121,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023122,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023123,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023124,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023125,2.345099925994873
E073,Neural - DLPFC,H3K4me3,66023126,2.0100700855255127
E073,Neural - DLPFC,H3K4me3,66023127,2.0100700855255127
E073,Neural - DLPFC,H3K4me3,66023128,2.0100700855255127
E073,Neural - DLPFC,H3K4me3,66023129,2.0100700855255127
E073,Neural - DLPFC,H3K4me3,66023130,1.5075600147247314
E073,Neural - DLPFC,H3K4me3,66023131,1.5075600147247314
E073,Neural - DLPFC,H3K4me3,66023132,1.5075600147247314
E073,Neural - DLPFC,H3K4me3,66023133,1.5075600147247314
E073,Neural - DLPFC,H3K4me3,66023134,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023135,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023136,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023137,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023138,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023139,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023140,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023141,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023142,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023143,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023144,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023145,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023146,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023147,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023148,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023149,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023150,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023151,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023152,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023153,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023154,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023155,1.2060400247573853
E073,Neural - DLPFC,H3K4me3,66023156,1.2060400247573853
